Category,Dictonary_Name,Parameter,Name,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Dewater,Dewater,ad_mcDigestate,Moisture Content of Solids Stream After Dewatering,0.76,mass water/total mass,,,,,,,,
Dig_prop,Dig_prop,mcInitComp,Composting beginning moisture content (used to calculate wood chip requirements),0.6,mass water/total mass,,,,,,,,
Dig_prop,Dig_prop,digliqdens,Digestate Liquids Density,1,kg/L,,,,,,,,
Dig_prop,Dig_prop,perNSolid,Percent N to solids,96,%,,,,,,,,
Dig_prop,Dig_prop,perPSolid,Percent P to solids,98.7,%,,,,,,,,
Dig_prop,Dig_prop,perKSolid,Percent K to solids,98.7,%,,,,,,,,
Fac_Energy,Fac_Energy,Dsl_facility,Diesel fuel used by anaerobic digestion facility (not curing),0.3,L/Mg,,,,,,,,
Fac_Energy,Fac_Energy,elec_preproc,Pre-processing Electricity Use,9,kWh/Mg,,,,,,,,
Fac_Energy,Fac_Energy,elec_facility,"AD facility electricity use (excluding pre-process, dewatering, and curing)",49,kWh/Mg,,,,,,,,
Loader,Loader,hpFEL,Front end loader use per facility capacity.,0.168,kW/Mgd,,,,,,,,
Loader,Loader,mfFEL,Front end loader specific fuel consumption.,0.26,L/kWh,,,,,,,,
shredding,shredding,Mtgp,Grinder power rating.,10.6,kWh/Mg,,,,,,,,
shredding,shredding,Mtgf,Grinder fuel consumption,0.25,L/kWh,,,,,,,,
Soil_seq,Soil_seq,perCStor,Percent of carbon in finished compost remaining after 100 years,10,%,,,,,,,,
Soil_seq,Soil_seq,percCStor_LF,Percent of carbon in compost remaining after 100 years,100,%,,,,,,,,
Soil_seq,Soil_seq,humFormFac,100 year carbon storage from humus formation,0,kg-C/kg-C in compost,,,,,,,,
